Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Reporte Individual,100,4323,1172,14516,2876.43,0.000%,1.58672,8754.20,0.33,5649571.0
Reporte Individual,100,6147,1723,17035,2509.53,0.000%,1.81548,10016.27,0.38,5649571.0
Reporte Individual,100,2286,1190,4549,504.60,0.000%,1.93615,10682.03,0.41,5649571.0
Reporte Individual,100,3350,1592,16087,2663.07,0.000%,1.70625,9413.66,0.36,5649571.0
Reporte Individual,300,28803,1692,42228,9234.02,24.333%,2.22188,9275.84,0.47,4274970.5
Reporte Individual,300,25854,2186,45634,10121.77,17.333%,2.24886,10256.91,0.47,4670403.5
Reporte Individual,300,24159,1587,41099,10271.85,13.000%,2.25667,10832.03,0.47,4915195.4
Reporte Individual,300,24646,1674,36966,10293.70,14.000%,2.26727,10757.79,0.48,4858705.0
Reporte Individual,700,32753,3071,45038,7120.14,62.571%,4.95673,10237.23,1.04,2114884.1
Reporte Individual,700,32887,2804,44661,6864.54,63.571%,4.96056,9971.48,1.04,2058393.7
Reporte Individual,700,32614,3817,44240,7042.15,61.857%,4.98671,10495.64,1.05,2155234.4
Reporte Individual,700,32184,3606,43142,7187.60,61.286%,4.97124,10619.78,1.04,2187514.6
Reporte Individual,1000,50014,3468,88137,17167.32,68.600%,5.60639,9714.42,1.18,1774327.5
Reporte Individual,1000,49817,4405,87721,17345.10,67.700%,5.44558,9706.16,1.14,1825168.9
Reporte Individual,1000,49267,3942,84723,16859.55,70.000%,5.66900,9385.08,1.19,1695240.9
Reporte Individual,1000,49962,2844,81390,16661.24,68.400%,5.67927,9903.37,1.19,1785625.6
Reporte Individual,100,19615,7509,27971,5211.44,0.000%,1.33156,7346.42,0.28,5649571.0
Reporte Individual,100,12511,2170,20918,5057.13,0.000%,1.45964,8053.07,0.31,5649571.0
Reporte Individual,300,29371,2371,41155,8685.12,37.000%,2.25142,7825.95,0.47,3559425.1
Reporte Individual,300,29602,3146,42559,8660.60,36.333%,2.14088,7520.45,0.45,3597085.4
Reporte Individual,700,33797,4962,55999,6445.09,71.571%,4.75127,7453.88,1.00,1606470.2
Reporte Individual,700,33641,4856,50331,6373.79,71.857%,4.88704,7589.85,1.03,1590330.1
Reporte Individual,1000,52198,4361,83129,16836.69,76.100%,5.50100,7255.79,1.16,1350649.3
Reporte Individual,1000,51865,6025,88689,17117.19,75.100%,5.53474,7605.62,1.17,1407139.7
Reporte Individual,100,30594,5808,50224,10909.30,6.000%,1.11028,5758.11,0.23,5310628.4
Reporte Individual,100,18816,1608,36607,7945.65,0.000%,1.24248,6854.98,0.26,5649571.0
Reporte Individual,300,36293,4280,71401,11070.45,47.667%,2.09718,6055.74,0.44,2956860.5
Reporte Individual,300,34525,3103,68594,10863.13,42.667%,2.13979,6768.98,0.45,3239312.7
Reporte Individual,700,32319,6653,57976,6811.65,74.000%,5.12723,7356.77,1.08,1469279.2
Reporte Individual,700,32500,6159,54597,6545.81,73.571%,5.03992,7350.66,1.06,1493489.4
Reporte Individual,1000,31898,11817,67666,5884.60,82.400%,7.32247,7113.37,1.54,994759.6
Reporte Individual,1000,31845,7573,53096,5797.32,81.400%,6.84074,7022.78,1.44,1051250.0
Reporte Individual,100,42412,6616,61435,11261.09,17.000%,1.02347,4686.80,0.22,4689233.7
Reporte Individual,100,30841,2496,49405,11130.41,0.000%,1.23022,6787.34,0.26,5649571.0
Reporte Individual,300,36469,3659,56602,11592.52,37.000%,2.07354,7207.63,0.44,3559425.1
Reporte Individual,300,36288,2515,81152,13620.95,43.000%,2.16015,6793.69,0.46,3220482.5
Reporte Individual,700,33961,8742,60652,9023.64,73.714%,4.92750,7147.85,1.04,1485419.3
Reporte Individual,700,33966,4050,62222,9037.38,74.429%,4.90478,6921.62,1.03,1445069.0
Reporte Individual,1000,32942,3255,68226,8324.33,82.600%,7.14812,6865.13,1.51,983461.5
Reporte Individual,1000,33127,8563,61738,8166.26,82.900%,7.10071,6702.09,1.50,966514.4
Reporte Individual,100,11078,5951,17135,2304.38,0.000%,1.64293,9064.29,0.35,5649571.0
Reporte Individual,100,4143,1978,8931,1196.45,0.000%,1.86421,10285.15,0.39,5649571.0
Reporte Individual,300,24126,2875,42179,9681.22,11.333%,2.26552,11082.78,0.48,5009346.1
Reporte Individual,300,23711,2104,38808,11276.97,13.000%,2.24366,10769.57,0.47,4915195.4
Reporte Individual,700,32256,3320,44424,7483.87,56.429%,4.90354,11789.07,1.03,2461896.7
Reporte Individual,700,32768,3489,48007,7377.21,56.714%,4.83643,11551.48,1.02,2445756.6
Reporte Individual,1000,50155,3881,79839,17704.38,61.200%,5.63641,12067.40,1.19,2192356.7
Reporte Individual,1000,53981,18383,96140,16840.87,71.100%,5.36515,8556.48,1.13,1633101.4
Reporte Individual,100,16834,7356,27297,4804.78,0.000%,1.53504,8469.04,0.33,5649571.0
Reporte Individual,100,9016,1422,18875,4667.21,0.000%,1.63575,9024.70,0.35,5649571.0
Reporte Individual,300,31053,1544,45204,10511.32,27.000%,2.20434,8878.35,0.47,4124329.4
Reporte Individual,300,30564,2347,45130,10245.01,26.333%,2.21595,9006.61,0.47,4161989.7
Reporte Individual,700,31826,7797,48092,6417.32,68.143%,5.10863,8980.77,1.08,1800151.7
Reporte Individual,700,32041,4633,59881,6835.13,68.571%,5.09028,8828.16,1.08,1775941.5
Reporte Individual,1000,31471,3638,49935,5598.97,78.100%,7.27770,8796.27,1.54,1237668.4
Reporte Individual,1000,31601,7663,50766,5514.87,77.800%,7.23233,8861.13,1.53,1254615.5
Reporte Individual,100,11284,1859,18370,4024.85,0.000%,1.59992,8827.03,0.34,5649571.0
Reporte Individual,100,7873,1683,20756,4085.38,0.000%,1.62293,8953.96,0.34,5649571.0
Reporte Individual,300,31588,1946,51936,12145.52,22.333%,2.19398,9401.43,0.46,4387951.4
Reporte Individual,300,32490,2060,54831,11728.58,22.333%,2.18935,9381.60,0.46,4387951.4
Reporte Individual,700,33401,1910,57660,8557.45,66.143%,4.95638,9259.98,1.05,1913132.6
Reporte Individual,700,33387,6592,54332,8300.93,66.714%,5.01882,9218.42,1.06,1880852.3
Reporte Individual,1000,32510,10561,55896,7231.71,77.100%,7.24580,9157.44,1.54,1294158.8
Reporte Individual,1000,32505,8732,54312,7169.01,76.600%,7.19523,9291.99,1.52,1322404.1
Reporte Individual,100,956,881,1017,25.42,0.000%,1.98236,10936.98,0.41,5649571.0
Reporte Individual,300,891,818,970,25.16,0.000%,2.98611,16474.87,0.62,5649571.0
Reporte Individual,700,672,546,998,61.13,0.000%,6.95507,38372.23,1.44,5649571.0
Reporte Individual,1000,11686,839,30038,8610.78,0.200%,7.90658,43534.60,1.64,5638272.9
Reporte Individual,100,982,821,2283,193.19,0.000%,1.98484,10950.66,0.42,5649571.0
Reporte Individual,300,904,836,1007,33.92,0.000%,2.98291,16457.18,0.63,5649571.0
Reporte Individual,700,723,579,1111,79.29,0.000%,6.95459,38369.56,1.47,5649571.0
Reporte Individual,1000,10497,966,30085,5215.79,0.200%,8.43270,46431.50,1.79,5638272.9
